Scenario,Component,Mean Time (ms),Std Dev (ms),Mean Count,Time per Step (ms)
Rigid,Image Processing,856.3112101691117,419.3505780287862,65.0,13.174018617986334
Rigid,Point Cloud Registration,1073.1104729273015,141.4044662071718,14.6,73.50071732378778
Rigid,LTE-Based Trajectory Adaptation,199.0716863332028,41.09740932245604,3.0,66.35722877773426
Non-Rigid,Image Processing,54.982886284283936,25.488894290795855,1019.6,0.05392593790141618
Non-Rigid,Point Cloud Registration,0.3576397576242276,0.12564250824128995,194.5,0.0018387648206901162
Non-Rigid,LTE-Based Trajectory Adaptation,399.730324428479,135.6384560617669,7.0,57.10433206121128
Rigid,Image Processing,950.7327894500348,332.72985250880737,80.0,11.884159868125435
Rigid,Point Cloud Registration,871.865950443407,24.33106432394615,7.8,111.77768595428294
Rigid,LTE-Based Trajectory Adaptation,274.9450430001161,0.0,1.0,274.9450430001161
Rigid,Image Processing,987.986911666697,474.9753303938865,60.0,16.466448527778283
Rigid,Point Cloud Registration,1270.541810933476,492.68448950109314,13.8,92.06824716909246
Rigid,LTE-Based Trajectory Adaptation,259.8422649998609,30.29306483610931,3.0,86.61408833328697
Generalization,Image Processing,819.3136975969211,253.4062352146756,115.5,7.09362508741923
Generalization,Point Cloud Registration,40614.45604976491,0.000322633809833252,4.2,9670.108583277359
Generalization,LTE-Based Trajectory Adaptation,512.5202140006876,0.0,1.0,512.5202140006876
Non-Rigid,Image Processing,56.21986556472261,16.252036833849868,929.8,0.06046447146130632
Non-Rigid,Point Cloud Registration,0.3917448656420387,0.12094940474496894,134.5,0.002912601231539321
Non-Rigid,LTE-Based Trajectory Adaptation,365.45156116666993,145.18101268169377,6.0,60.90859352777832
Non-Rigid,Image Processing,54.6473488930374,23.890144418595252,1256.4,0.04349518377350955
Non-Rigid,Point Cloud Registration,0.38698371643441803,0.0913741861698247,151.5,0.0025543479632634853
Non-Rigid,LTE-Based Trajectory Adaptation,515.6266475000278,356.67296062225086,4.0,128.90666187500696
Generalization,Image Processing,1154.1085397723357,519.2179583216016,1770.0,0.6520387230352179
Generalization,Point Cloud Registration,42288.52918971294,9156.930991339948,75.6,559.3720792290072
Generalization,LTE-Based Trajectory Adaptation,447.7761575001105,195.8989820616713,12.0,37.31467979167588
Generalization,Image Processing,806.8729719762262,376.84849748700816,126.0,6.403753745843065
Generalization,Point Cloud Registration,30174.246417833212,0.0006860887856728949,6.8,4437.389179093119
Generalization,LTE-Based Trajectory Adaptation,331.32711200050835,0.0,1.0,331.32711200050835
Generalization,Image Processing,978.6565170360615,524.6631388390774,527.0,1.8570332391576119
Generalization,Point Cloud Registration,37682.48891053072,13986.085620089178,32.4,1163.0397811892199
Generalization,LTE-Based Trajectory Adaptation,527.9763897499377,406.0456385188951,4.0,131.9940974374844
Rigid,Image Processing,981.8693919650395,380.047162043523,57.0,17.225778806404204
Rigid,Point Cloud Registration,862.9104050830844,48.06261307797649,5.4,159.79822316353412
Rigid,LTE-Based Trajectory Adaptation,224.4168189990887,0.0,1.0,224.4168189990887
Rigid,Image Processing,938.7817128636335,347.05387896598836,88.0,10.667974009814017
Rigid,Point Cloud Registration,1072.9525279743732,240.2945981519621,17.4,61.6639383893318
Rigid,LTE-Based Trajectory Adaptation,254.78055733337118,75.48875779698106,3.0,84.92685244445705
